aspect,negative,neutral,positive,total
SAMSUNG,13,48,13,74
no moving parts,10,41,23,74
new phones,11,57,6,74
sharp images,19,26,29,74
other ear buds,8,40,26,74
all the bad reviews,68,0,6,74
pretty good sound,21,1,52,74
extra hardware,14,26,34,74
designs,1,22,51,74
Photo quality,16,11,47,74
Electronics,19,39,15,73
excellent battery life,0,6,67,73
wireless devices,18,16,39,73
audiophile quality,22,28,23,73
32 GB,20,43,10,73
high-quality,20,19,34,73
different chargers,29,42,2,73
pixelation,48,24,1,73
cheap headphones,16,11,46,73
sd cards,15,23,35,73
decent battery life,0,20,53,73
modems,26,35,12,73
Cheap quality,73,0,0,73
better reviews,17,25,31,73
All the buttons,9,34,30,73
each earbud,8,46,19,73
no complaint,13,11,48,72
really good quality,1,0,71,72
Touch,21,19,32,72
extra parts,10,28,34,72
fine tuning,25,40,7,72
micro SD,1,32,39,72
advertised speeds,22,30,20,72
/>Performance,24,17,31,72
very nice quality,13,0,59,72
nice design,0,12,60,72
Samsungs,27,22,23,72
some buttons,52,20,0,72
data storage,20,33,19,72
all batteries,30,32,10,72
Bluetooth earbuds,21,29,22,72
capacitors,18,41,13,72
one laptop,19,36,16,71
ssd,27,34,10,71
nearly everything,17,27,27,71
Piapro Studio,68,3,0,71
16 GB,1,33,37,71
camcorders,5,19,47,71
8GB RAM,7,59,5,71
one feature,11,34,26,71
Nintendo Switch,11,27,33,71
4K video,19,24,28,71
garmin,47,7,17,71
all the compartments,23,1,47,71
Media Center,16,45,10,71
USB-C.,4,30,37,71
these switches,37,21,13,71
USB drives,5,42,24,71
cd player,27,36,8,71
their design,36,7,27,70
speaker phone,29,27,14,70
both keyboard,17,19,34,70
both USB,10,41,19,70
performance.<br,29,16,25,70
/>These headphones,13,20,37,70
similar quality,12,40,18,70
many cameras,35,29,6,70
woofers,16,47,7,70
mbps,37,25,8,70
how much battery,16,11,43,70
LCD screen,26,39,5,70
trackpad,18,12,40,70
poor performance,66,1,3,70
voice quality,27,1,42,70
qualities,17,47,6,70
these speaker,15,39,16,70
good video quality,16,2,51,69
new speakers,11,45,13,69
mic quality,7,11,51,69
most applications,23,29,17,69
/>The battery,28,13,28,69
USB.<br,22,9,38,69
response time,39,23,7,69
these hard drives,26,22,21,69
extra features,8,44,17,69
MP4,5,58,6,69
good build quality,5,15,49,69
bluetooth range,31,27,11,69
Smart Hub,49,12,8,69
only one device,26,41,1,68
great feature,0,0,68,68
panasonic,28,7,33,68
decent.<br,44,9,15,68
their sound quality,46,1,21,68
Fast charging,3,18,47,68
Bluetooth mode,19,45,4,68
these charging cords,24,11,33,68
key board,34,17,17,68
earpiece,27,29,12,68
all my gear,6,19,43,68
32gb,30,17,21,68
USB A,10,38,20,68
great camera,7,0,61,68
Drives,0,58,10,68
low end,41,22,5,68
wireless keyboard,17,29,22,68
usefulness,26,16,26,68
real-time,28,35,5,68
USB stick,8,32,27,67
some programs,14,39,14,67
Another feature,7,6,54,67
our laptops,10,24,33,67
Bluetooth.<br,26,12,29,67
more RAM,0,38,29,67
other software,2,49,16,67
Great charger,0,0,67,67
bluetooth audio,30,24,13,67
macbook,25,21,21,67
Battery Life,45,9,13,67
Cable management,19,25,23,67
bluetooth devices,25,25,17,67
different manufacturers,10,41,16,67
decent headphones,17,23,27,67
Menus,25,14,28,67
User interface,34,12,21,67
Blue tooth,42,21,4,67
good quality.<br,6,28,33,67
our projector,9,23,35,67
Amazing quality,0,0,66,66
other keyboards,10,40,16,66
anker products,8,20,38,66
more devices,4,40,22,66
properties,11,50,5,66
any accessories,18,45,3,66
their iPad,16,12,38,66
nice size,9,0,57,66
any tools,24,22,20,66
no real complaints,9,29,28,66
any battery,33,25,8,66
size.<br,23,21,22,66
/>The buttons,25,14,27,66
dash cam,27,21,18,66
USB2,16,23,27,66
Amazon devices,31,12,22,65
additional cameras,7,31,27,65
IP cameras,0,53,12,65
Good Quality,0,0,65,65
video content,31,27,7,65
all the keys,12,28,25,65
various settings,35,16,14,65
best quality,38,9,18,65
Pad,8,42,15,65
Decent camera,18,8,39,65
most apps,34,20,11,65
our ISP,39,18,8,65
download speed,15,29,21,65
all the outlets,15,46,4,65
Small size,0,11,54,65
much higher quality,16,26,23,65
configurations,5,43,17,65
other batteries,19,32,14,65
Very nice quality,0,0,65,65
about the same size,8,34,23,65
/>The headphones,9,32,24,65
product quality,11,32,21,64
some accessories,0,22,42,64
cpu,16,42,6,64
Surface Pro,7,32,25,64
HD quality,6,35,23,64
most purposes,23,17,24,64
cheap parts,29,29,6,64
only part,13,45,6,64
digital camera,8,22,34,64
high frequencies,38,23,3,64
its light weight,0,7,57,64
Touchscreen,12,3,49,64
usb-c,9,38,17,64
power supplies,15,44,5,64
its battery life,39,11,14,64
Sleek design,0,45,19,64
one USB,27,20,17,64
more batteries,4,50,10,64
any cameras,31,17,15,63
4 GB,6,52,5,63
Computers,22,26,15,63
faster speeds,1,30,32,63
new firmware,24,26,13,63
Blu-ray,33,13,17,63
Playback,13,36,14,63
advanced features,18,8,37,63
AP mode,5,29,29,63
two parts,9,52,2,63
Good build,5,10,48,63
power cable,10,37,16,63
volume controls,23,17,23,63
reasonable quality,18,14,31,63
10 computer,31,30,2,63
Good quality sound,0,1,62,63
monitor.<br,35,9,19,63
screen size,9,23,31,63
latest firmware,13,50,0,63
amazing quality,0,0,63,63
two chargers,11,44,8,63
/>Sony,31,13,19,63
resistors,25,23,15,63
wi fi,34,24,4,62
blutooth,25,20,17,62
scan,13,44,5,62
all my cables,20,16,26,62
its appearance,7,13,42,62
Fast Charging,17,39,6,62
power cords,13,35,14,62
electronic equipment,9,29,24,62
some nice features,15,0,47,62
Apple devices,12,34,16,62
every button,52,3,7,62
decent bass,0,7,55,62
nightvision,40,17,5,62
one earpiece,24,38,0,62
some software,0,47,15,62
remote controls,8,50,4,62
better headphones,13,27,22,62
better software,2,40,20,62
phone conversations,21,26,15,62
all the hardware,17,18,27,62
ear phones,8,22,32,62
bad design,48,14,0,62
all the details,14,32,16,62
each button,29,17,16,62
engineers,41,10,11,62
Blackberry,7,15,40,62
Digital,26,32,4,62
reliable.<br,15,25,22,62
adaptor,22,34,5,61
replacement unit,17,11,33,61
different parts,11,32,18,61
USB cord,22,25,14,61
Bluetooth keyboard,0,50,11,61
extra cables,9,34,18,61
motion recording,40,21,0,61
any wires,3,34,24,61
manual controls,4,8,49,61
1080p video,9,40,12,61
circuit,29,21,11,61
XBMC,28,23,10,61
google maps,36,15,10,61
disk utility,39,22,0,61
new camera,16,31,14,61
some batteries,13,36,12,61
SOUND,16,34,11,61
Their products,25,10,26,61
our laptop,15,24,22,61
good connectivity,0,11,50,61
transmitters,19,39,3,61
Just the right size,0,6,55,61
evaluation,10,43,8,61
little camera,5,9,47,61
specifications,26,30,5,61
all sizes,18,16,26,60
motor,28,31,1,60
their computers,17,25,18,60
8 GB,9,46,5,60
preference,24,19,17,60
poor quality sound,60,0,0,60
BlueTooth,15,43,2,60
our wifi,4,43,13,60
mounting hardware,30,24,6,60
all my cords,3,25,32,60
any distortion,2,40,18,60
128GB,5,49,6,60
one USB port,14,25,21,60
inverter,25,34,1,60
component,14,29,17,60
Cablevision,2,58,0,60
Samsung TVs,29,1,30,60
requirements,19,38,3,60
their durability,27,16,17,60
keyboard cover,12,5,43,60
great functionality,0,0,60,60
battery pack,9,26,25,60
Projector,21,30,9,60
Great video quality,5,0,55,60
hardware failure,37,23,0,60
Canon cameras,19,16,25,60
most laptops,5,15,40,60
IPAD,28,16,16,60
its compact size,0,0,59,59
power strip,19,26,14,59
these charging cables,15,10,34,59
not good quality,59,0,0,59
video chat,17,30,12,59
each port,7,43,9,59
our Mac,15,28,16,59
each monitor,29,15,15,59
more quality,20,20,19,59
/>The design,16,10,33,59
not the quality,45,14,0,59
all cords,28,26,5,59
Beach Camera,10,35,14,59
8 cameras,4,45,10,59
these remotes,10,38,11,59
good camera,31,0,28,59
any electronics,12,35,12,59
Nikon cameras,0,34,25,59
Build,18,8,33,59
pure junk,59,0,0,59
Very light weight,12,13,33,58
its specs,18,25,15,58
screen quality,6,20,32,58
USB outlets,23,23,12,58
No drivers,16,27,15,58
ear piece,9,48,1,58
Very cheap quality,58,0,0,58
chip,18,31,9,58
USB adapter,13,39,6,58
no USB,34,14,10,58
some electrical tape,6,42,10,58
ratings,7,24,27,58
some distortion,10,43,5,58
These monitors,12,23,23,58
Very poor sound quality,58,0,0,58
basic features,30,24,4,58
Response time,7,36,15,58
its sturdiness,46,8,4,58
these machines,15,40,3,58
no device,43,14,1,58
great resolution,24,2,32,58
Bluetooth audio,40,0,18,58
USBC,35,19,4,58
Very good sound quality,0,0,58,58
one charger,26,20,12,58
most monitors,16,18,24,58
Parts Express,14,17,27,58
firmware upgrades,13,43,2,58
no headphone jack,42,13,3,58
portable charger,4,25,29,58
more than one camera,14,29,15,58
some fiddling,11,42,5,58
any laptop,21,7,30,58
internet speed,45,11,2,58
no phone,31,22,4,57
full size,4,34,19,57
7 ports,21,18,18,57
/>Logitech,38,12,7,57
each computer,13,44,0,57
USB drive,8,26,23,57
platform,6,49,2,57
All buttons,8,28,21,57
all three cables,40,6,11,57
internet speeds,5,31,21,57
Mediabridge products,2,8,47,57
which cable,12,34,11,57
fan blades,44,1,12,57
other Anker products,25,18,14,57
recording time,23,33,1,57
Internet speed,24,25,8,57
Arm,14,42,1,57
device.<br,15,13,29,57
all wires,11,41,5,57
his iPhone,0,24,33,57
Write speeds,23,33,1,57
their equipment,32,19,6,57
those ports,24,33,0,57
Blurry,14,43,0,57
circuitry,8,30,19,57
most phones,24,24,9,57
no buttons,26,18,13,57
camera equipment,31,13,13,57
average use,17,29,11,57
30GB,37,9,10,56
4k video,21,6,29,56
different size,14,27,15,56
MacBooks,16,36,4,56
short battery life,49,1,6,56
Short battery life,26,23,7,56
Amp,22,29,5,56
Tech,15,29,12,56
iPAD,48,8,0,56
fantastic headphones,0,0,56,56
videography,9,31,16,56
many laptops,12,36,8,56
stereo mode,8,46,2,56
Cloud cam,20,36,0,56
Other cables,6,41,9,56
GPSBable,0,56,0,56
Music quality,16,12,28,56
different phones,9,41,6,56
camera quality,0,5,51,56
These radios,10,14,32,56
very cheap quality,44,2,10,56
small electronics,11,31,14,56
battery charge,9,23,24,56
another part,1,48,7,56
light-weight,4,18,34,56
/>quality,34,9,13,56
storage capacity,0,20,36,56
Accuracy,5,28,23,56
replaceable batteries,24,20,12,56
Amazon Instant Video,14,13,28,55
hard disk,22,23,10,55
Asus products,31,13,11,55
their advertising,35,20,0,55
all laptops,3,30,22,55
other wireless devices,11,42,2,55
certain features,40,6,9,55
battery mode,9,45,1,55
Gigabyte,28,25,2,55
battery drain,42,10,3,55
Decent speakers,0,0,55,55
audio jack,28,23,4,55
great design,7,0,48,55
great device,14,2,39,55
N600,22,19,14,55
/>The battery life,29,5,21,55
older model,14,34,7,55
Not the quality,51,4,0,55
satisfaction,15,1,39,55
Android phones,20,27,8,55
poor sound,54,0,1,55
many cables,11,28,16,55
Bose headphones,12,35,8,55
Good quality picture,0,3,52,55
macs,11,37,7,55
side buttons,21,15,19,55
/>The speakers,13,22,20,55
control buttons,20,25,10,55
keyboard shortcuts,4,41,10,55
camera.<br,19,20,16,55
useful features,20,0,35,55
Sennheiser,11,19,25,55
quality product,9,0,46,55
ViewSonic,27,27,0,54
overnight charging,15,35,4,54
quality cables,10,10,34,54
Horrible quality,54,0,0,54
cache,10,23,21,54
camera gear,11,18,25,54
volume button,4,14,36,54
awesome headphones,12,0,42,54
some cords,8,31,15,54
flimsy plastic,50,3,1,54
our cell phones,18,24,12,54
rechargeables,2,37,15,54
fast internet,18,12,24,54
any cables,13,39,2,54
track pad,30,10,14,54
SoundPEATS,14,20,20,54
touchscreen,9,25,20,54
her iPhone,0,25,29,54
other USB devices,16,26,12,54
good speeds,20,0,34,54
basic needs,0,9,45,54
screen resolution,0,11,42,53
battery time,13,27,13,53
battery charger,4,42,7,53
Not great quality,34,19,0,53
nice speakers,14,9,30,53
mouse clicks,34,19,0,53
All 3 cables,32,16,5,53
USB3.0,0,32,21,53
rapid charging,27,21,5,53
Bose quality,32,6,15,53
any resolution,51,0,2,53
12 buttons,13,31,9,53
diagnostics,24,29,0,53
CD quality,25,11,17,53
more battery life,11,38,4,53
different cords,7,45,1,53
Excellent performance,0,0,53,53
most manufacturers,10,28,15,53
mics,2,28,23,53
Transfer speeds,7,30,16,53
Very clear picture,4,0,49,53
all sound,13,25,15,53
hardware.<br,11,28,14,53
cheap cameras,17,30,6,53
stereos,9,31,13,53
3rd party software,21,29,3,53
regular headphones,23,16,14,53
what devices,13,35,4,52
USB C.,8,12,32,52
phone case,19,26,7,52
all the controls,9,14,29,52
1920x1080,14,26,12,52
some wires,33,16,3,52
branding,13,18,21,52
MPEG,23,29,0,52
blurry,47,5,0,52
other ports,12,37,3,52
Great resolution,15,0,37,52
four cameras,16,18,18,52
its capacity,11,16,25,52
its large size,36,0,16,52
These headsets,31,5,16,52
Amazing sound quality,0,0,52,52
home screen,28,23,1,52
ACER,42,8,2,52
/>Device,23,22,7,52
/>Controls,21,14,17,52
improvement.<br,3,14,35,52
Other features,14,22,16,52
new headphones,24,18,10,52
sleek design,7,0,45,52
small footprint,3,22,27,52
audio equipment,9,9,34,52
battery packs,5,19,28,52
video cards,7,33,12,52
Samsung Galaxy,12,26,14,52
quality control issues,31,0,21,52
3 computers,2,39,10,51
These phones,1,21,29,51
some laptops,7,21,23,51
Great quality product,1,0,50,51
Dolby Vision,3,31,17,51
average sound,28,0,23,51
any documentation,32,19,0,51
three computers,0,40,11,51
voice calls,19,13,19,51
SD card slot,14,18,19,51
their batteries,28,19,4,51
wireless cameras,19,26,6,51
Foto&Tech,0,49,2,51
charged.<br,25,10,16,51
Every other device,21,14,16,51
those apps,16,25,10,51
Video recording,13,30,8,51
better quality.<br,30,16,5,51
those headphones,29,2,20,51
other adapters,13,27,11,51
significant wear,17,34,0,51
Ryzen,1,33,17,51
certain apps,30,21,0,51
new technology,4,35,12,51
good resolution,1,11,39,51
/>The laptop,13,23,15,51
battery issues,48,1,1,50
Worst camera,50,0,0,50
each unit,14,19,17,50
both my iPad,0,26,24,50
lithium batteries,20,15,15,50
These drives,17,23,10,50
bluetooth support,40,0,10,50
4 devices,4,29,17,50
Poor battery life,50,0,0,50
several different brands,30,12,8,50
all plastic,22,25,3,50
Easy connection,1,9,40,50
just part,32,17,1,50
extra battery,0,19,31,50
video cameras,0,50,0,50
easy storage,1,17,32,50
Sony tech support,4,46,0,50
those batteries,20,28,2,50
charge time,28,21,1,50
cellphones,17,24,9,50
what part,23,25,2,50
video recordings,20,26,4,50
new features,17,9,24,50
tiny speakers,14,18,18,50
Kinda flimsy,28,22,0,50
designers,29,13,8,50
Screen size,0,40,10,50
usb port,27,12,10,49
Cd player,36,11,2,49
these ports,31,12,6,49
no speaker,33,16,0,49
desktop computer,0,29,20,49
so many positive reviews,25,0,24,49
SD Card,19,17,13,49
low latency,27,6,16,49
any USB port,20,26,3,49
low resolution,10,13,26,49
WiFI,36,13,0,49
Dolby Digital,7,29,13,49
overall design,5,4,40,49
product photos,37,9,3,49
/>The headset,17,8,24,49
these wireless earbuds,0,2,47,49
Quality control,49,0,0,49
horrible quality,48,0,1,49
/>Wireless,25,10,14,49
tall buildings,10,39,0,49
better image quality,0,12,37,49
Micro SD card,35,8,6,49
Good speakers,9,15,25,49
blu-ray,4,31,14,49
our tablet,13,18,18,49
no charging,25,15,9,49
ear plugs,9,25,15,49
amazing sound quality,11,0,38,49
many positive reviews,0,14,35,49
today's standards,21,18,9,48
internal speakers,20,26,2,48
All my devices,16,20,12,48
good quality video,16,1,31,48
Disk Management,24,23,1,48
load times,14,6,28,48
audiobook,17,10,21,48
Youtube videos,10,24,14,48
Screen resolution,22,5,21,48
all the connectors,1,26,21,48
Screen quality,0,0,48,48
some great features,0,0,48,48
overall performance,5,6,37,48
super light weight,1,20,27,48
Logitech mice,19,2,27,48
nice screen,0,0,48,48
performance issues,38,5,5,48
ac adapter,36,12,0,48
Micro USB,9,15,24,48
either device,26,22,0,48
its sound quality,34,0,14,48
Media Bridge,11,29,8,48
/>Sound quality,10,0,38,48
Motherboard,28,19,1,48
mouse set,10,6,32,48
GUI,0,33,15,48
iPad Mini,1,35,12,48
Really good quality,0,0,48,48
terrible sound quality,48,0,0,48
adaptors,20,15,13,48
mobile phone,15,27,6,48
/>Bluetooth,20,1,26,47
4 batteries,10,32,5,47
platforms,2,24,21,47
dongles,29,10,8,47
way better quality,0,0,47,47
Google home,15,21,11,47
wire.<br,6,32,9,47
android phone,9,14,24,47
One feature,2,26,19,47
good enough quality,21,9,17,47
flawless,9,10,28,47
Ear buds,12,24,11,47
pixel,31,3,13,47
rechargeable battery,0,28,19,47
500 GB,35,9,3,47
all the gear,11,12,24,47
all the sound,26,15,6,47
decent volume,8,27,12,47
product shots,0,5,42,47
more than one computer,26,20,1,47
All 3 cords,45,2,0,47
4 speakers,1,42,4,47
which computer,12,28,7,47
compactness,13,15,19,47
these keycaps,28,4,15,47
Great speakers,0,0,47,47
ANC headphones,15,13,19,47
Good performance,4,0,43,47
2 GB,4,30,13,47
touch controls,1,23,23,47
motion blur,10,28,9,47
HDMI video,21,19,7,47
their settings,21,10,15,46
protocols,45,1,0,46
their charger,20,12,14,46
one headset,19,19,8,46
Some features,39,7,0,46
refresh rate,13,23,10,46
Excellent device,0,0,46,46
30fps,2,31,13,46
new hardware,6,40,0,46
excellent performance,9,0,37,46
audio feedback,16,20,10,46
no other issues,1,21,24,46
automation,21,22,3,46
great size,0,0,46,46
lesser quality,30,15,1,46
Memory card,23,20,3,46
good design,11,5,30,46
compact size,0,9,37,46
so many features,4,6,36,46
some part,41,5,0,46
decent video,6,6,34,46
Horrible sound,46,0,0,46
Specs,16,17,13,46
gigabit,6,11,29,46
all pieces,3,36,7,46
small devices,0,25,21,46
Yi cameras,24,15,7,46
game consoles,9,34,3,46
equipment.<br,29,3,14,46
power consumption,9,20,17,46
Phone calls,21,21,4,46
touchscreens,23,22,1,46
All the features,11,2,33,46
2.4g,33,6,7,46
Headphone,33,8,5,46
ear&#34,4,41,0,45
Terrible sound quality,45,0,0,45
most projectors,0,25,20,45
sound quality.<br,11,18,16,45
motion sensors,20,14,11,45
Android devices,10,27,8,45
features.<br,6,27,12,45
Android phone,17,13,15,45
tvs,8,27,10,45
256GB,7,23,15,45
all computers,22,20,3,45
WiFi connectivity,33,6,6,45
ios,12,19,14,45
4 computers,0,31,14,45
headphones.<br,3,19,23,45
APP,9,31,5,45
Dimensions,15,30,0,45
S-Video,21,22,2,45
wireless internet,11,21,13,45
blu-rays,4,18,23,45
Google Voice,0,42,3,45
High quality cable,0,0,45,45
every part,1,27,17,45
micro SD cards,1,22,22,45
new apps,18,10,17,45
5 ghz,21,24,0,45
QUALITY,18,5,22,45
other equipment,12,17,16,45
one AA battery,0,24,21,45
